userid,modelScore
6844,0.266850116
6845,-0.011005539
6846,-0.290956837
6847,0.045124444
6848,0.002789979
6849,0.184887864
6850,0.084653951
6851,-0.014867442
6852,-0.06526286
6853,0.281689722
6854,-0.151293151
6855,0.276056719
6856,0.173754439
6857,0.126970865
6858,0.094096329
6859,0.155370096
6860,0.134542675
6861,0.111414405
6862,0.301352579
6863,-0.041601182
6864,0.0931562
6865,0.22055394
6866,0.096750559
6867,0.28403791
6868,-0.005821923
6869,0.248562073
6870,-0.06646555
6871,0.175936273
6872,0.125904335
6873,0.044916945
6874,0.417819432
6875,0.462594718
6876,0.310579089
6877,0.146630827
6878,0.216248962
6879,0.161034973
6880,0.212703627
8131,-0.169721654
8132,0.111447672
8133,0.292942642
8134,-0.063203218
8135,0.41659374
8136,0.139607267
8137,0.097695539
8138,-0.048893189
8139,-0.049312816
8140,-0.012911082
8141,0.112901807
8142,0.130546842
8143,0.120594684
8144,0.301380544
8145,-0.099550703
8146,0.295849969
8147,-0.061552183
8148,0.215939053
8149,-0.086277494
8150,0.301423866
8151,0.303603449
8152,-0.089444445
8153,-0.231635195
8154,0.134650669
8155,0.028587317
8156,-0.001381143
8157,0.002055585
8158,-0.053518337
8159,-0.046741669
8160,0.077505469
8161,-0.078897658
8162,0.100742702
8163,-0.022130785
8164,0.31244902
8165,0.428445448
8166,0.18825476
8167,0.13852368
8168,0.311487843
8169,0.354723423
8170,-0.083417565
8171,-0.017837255
8172,0.135376284
8173,0.224571945
8174,0.002249034
8175,0.038581608
8176,0.1861849
8177,0.305435066
8178,0.097802862
8179,0.065642868
8180,0.191246949
8181,0.319885495
8182,0.029998209
8183,0.090797938
8184,0.147370617
8185,0.116695522
8186,-0.034662979
8187,0.084483026
8188,-0.061692448
8189,0.213401303
8190,-0.045095264
8191,0.075300976
8192,0.031671106
8193,0.26569718
8194,0.139708053
8195,0.105308484
8196,0.08441343
8197,0.217931657
8198,-0.15702396
8199,-0.136132933
8200,0.151861495
8201,-0.002896746
8202,0.046622114
8203,0.150414985
8204,0.259169876
8205,-0.249368395
8206,-0.025663198
8207,0.326896054
8208,0.096109178
8209,0.293582751
8210,0.250169805
8211,0.026582706
8212,0.176249245
8213,0.225330611
8214,0.317145881
8215,0.124828694
8216,0.253887011
8217,0.121220694
8218,0.040578216
8219,-0.172326189
8220,0.078937653
8221,0.099231116
8222,0.046649636
8223,0.0898737
8224,0.419486174
8225,0.086414583
8226,0.108055723
8227,-0.191008596
8228,0.035572179
8229,0.181277028
8230,0.171077902
8231,0.068583906
8232,-0.290206131
8233,-0.092095901
8234,-0.040642362
8235,0.009767979
8236,-0.042005638
8237,0.059350517
8238,0.098155563
8239,0.324757334
8240,-0.054943871
8241,0.404585342
8242,0.426165813
8243,0.328311517
8244,0.00261748
8245,0.303345455
8246,0.201976484
8247,-0.222526145
8248,0.096233013
8249,0.233858209
8250,-0.054235947
8251,0.200698207
8252,0.387174022
8253,-0.056289732
8254,0.058371262
8255,0.139365728
8256,0.140589705
8257,0.08029345
8258,-0.34969796
8259,0.244594848
8260,-0.205435871
8261,0.170712245
8262,0.039477612
8263,-0.107022268
8264,0.219885502
8265,0.041112471
8266,-0.242840983
8267,0.314825303
8268,0.449201046
8269,-0.138885302
8270,0.318418575
8271,-0.008171038
8272,0.361526199
8273,-0.062308853
8274,0.238519821
8275,0.063614195
8276,-0.068229604
8277,0.004486443
8278,-0.02197785
8279,0.359248183
8280,0.222458345
8281,-0.23050548
8282,0.218844533
8283,-0.016570682
8284,0.349268414
8285,0.05656574
8286,0.151771326
8287,0.314645513
8288,-0.148278895
8289,-0.033641894
8290,0.015627336
8291,0.419538406
8292,0.47995224
8293,0.212190524
8294,0.28370625
8295,0.0591484
8296,0.087750385
8297,0.153961796
8298,0.378763058
8299,-0.141863654
8300,0.068373078
8301,0.173257048
8302,0.157796095
8303,0.172922528
8304,0.104759123
8305,0.251811944
8306,-0.047279248
8307,0.307439347
8308,0.156743143
8309,0.109834062
8310,-0.021545341
8311,0.254797356
8312,0.114724224
8313,-0.097028205
8314,-0.094248216
8315,0.297419089
8316,0.394066387
8317,0.17722856
8318,0.182485357
8319,0.272706212
8320,-0.05843459
8321,0.162669417
8322,0.375758526
8323,0.29348033
8324,0.169566814
8325,-0.110728197
8326,0.172781711
8327,0.227570991
8328,0.360441074
8329,0.433377171
8330,0.148944752
8331,0.011682504
8332,0.062768902
8333,0.308837683
8334,0.291391981
8335,0.004137408
8336,0.262613015
8337,-0.065917753
8338,-0.082704818
8339,-0.026288221
8340,0.263988009
8341,-0.068873703
8342,0.163538066
8343,0.019292499
8344,0.20748016
8345,-0.055550808
8346,0.042033469
8347,0.049605644
8348,0.362370591
8349,-0.020718929
8350,0.065777439
8351,0.035603332
8352,0.14638641
8353,0.404612227
8354,-0.056999183
8355,-0.055830924
8356,0.071429447
8357,0.192757954
8358,0.101629173
8359,0.176196881
8360,0.003866726
8361,0.123036354
8362,-0.078430458
8363,-0.387556865
8364,-0.062021105
8365,0.074470799
8366,0.008475342
8367,0.261879221
8368,0.119581267
8369,0.109709985
8370,0.19479449
8371,-0.055193753
8372,0.05194485
8373,0.31689568
8374,0.182162567
8375,0.178433428
8376,0.152688718
8377,-0.043084448
8378,0.054174782
8379,-0.108827384
8380,0.008029996
8381,0.178322734
8382,0.073875601
8383,-0.091629025
8384,0.190473814
8385,-0.031230438
8386,0.364910151
8387,0.34313571
8388,-0.068487672
8389,0.229243542
8390,0.137234109
8391,0.117042772
8392,-0.230211544
8393,0.159293018
8394,0.022408858
8395,-0.040940252
8396,-0.465969551
8397,0.146766495
8398,0.072694109
8399,0.306820901
8400,0.380797218
8401,-0.390297422
8402,0.281975475
8403,0.08932904
8404,0.141540893
8405,0.250297227
8406,-0.154223399
8407,0.043970482
8408,-0.314064615
8409,0.143378267
8410,0.276143193
8411,0.043561567
8412,-0.149196972
8413,0.190876582
8414,0.297992961
